RBT-90 generator reference: the same statistics over seeds 1..200, sixty founders each, seed 801's config.
What 'a typical draw' means for the rule in docs/founder-diversity.md.  No simulation.
RBT-90-reference.json beside this file is the authority: rates are k/60 and the quartiles fall on values many
seeds hold exactly, so a re-derivation from a rounded print moves seeds across the thresholds (adversary probe 1).

statistic         min      p5     q25  median     q75     p95     max
drive           31/60   34/60   38/60   40/60   42/60   46/60   49/60
osc              5/60    8/60   11/60   13/60   15/60   18/60   23/60
both            22/60   25/60   28/60   30/60   33/60   0.617   42/60
parts_median    2.000   3.000   3.500   4.000   4.000   4.000   5.000
units_median   12.000  13.000  14.500  16.000  17.500  20.000  23.000

per-seed rows (200):
 seed   drive     osc    both  parts  units
  168   44/60    7/60   38/60      4     15
  169   47/60   11/60   37/60      4     19
  170   37/60    9/60   31/60    3.5     14
  171   40/60   11/60   32/60      4   20.5
  172   45/60   13/60   35/60      4     18
  173   43/60   14/60   31/60      4     17
  174   39/60   11/60   31/60      4   15.5
  175   43/60   12/60   32/60      4     17
  176   40/60    8/60   35/60      4     15
  177   35/60   11/60   28/60      3     15
  178   41/60   17/60   26/60      4     16
  179   40/60   15/60   32/60      4   15.5
  180   34/60   14/60   25/60      3     16
  181   38/60   17/60   25/60      4   18.5
  182   41/60   14/60   30/60    3.5     14
  183   42/60    6/60   39/60      4   14.5
  184   37/60   14/60   28/60      4   16.5
  185   39/60   12/60   31/60      4   20.5
  186   42/60   11/60   33/60      4     17
  187   41/60   12/60   32/60      4     19
  188   41/60   11/60   32/60      4   15.5
  189   43/60    9/60   39/60      4     18
  190   43/60   15/60   29/60    3.5   14.5
  191   39/60   12/60   30/60      4   17.5
  192   40/60   17/60   25/60      4     14
  193   34/60   15/60   25/60      3     14
  194   34/60   10/60   29/60    3.5   14.5
  195   41/60   19/60   25/60      4   16.5
  196   36/60   11/60   26/60      4   13.5
  197   37/60   10/60   30/60      4     15
  198   42/60   14/60   30/60      4     15
  199   39/60   11/60   29/60    3.5   14.5
  200   45/60   14/60   32/60      4   20.5
